wave,n_participants,cohort,retained_from_previous_n,retention_from_previous
ses-00A,11862,ABCD,,
ses-01A,11201,ABCD,11197,0.9439386275501602
ses-02A,10898,ABCD,10641,0.950004463887153
ses-03A,10197,ABCD,9977,0.9154890805652414
ses-04A,9496,ABCD,9014,0.8839854859272335
ses-05A,8658,ABCD,8035,0.8461457455770851
ses-06A,4983,ABCD,4472,0.5165165165165165
