cohort,wave,composite,n_total,n_complete,item_count,items,alpha_std,omega_total
MCS,age14,Motivation/engagement composite,11711,11118,6,school_happy_pos; schoolwork_happy_pos; friends_happy_pos; try_best_pos; school_interest_pos; school_waste_reverse_pos,0.7627999342899169,0.7675528725688451
MCS,age14,Executive-control primary proxy,11711,10705,1,quality_decision_pos,,
