outcome,model,predictor,estimate,std_error,statistic,p_value,odds_ratio,or_conf_low,or_conf_high,aic,auc,brier,nobs,missingness_handling
Age 23 probable depressive case (PHQ-2 >= 3),Distress only,kessler_17_z,0.5820374034113519,0.04965821894025967,11.720867478383797,2.8246399535691468e-27,1.789681020994548,1.6237025770430598,1.972626146064894,5138.228557964077,0.6964619060880364,0.1544488207175719,5343,Complete-case analysis
Age 23 probable depressive case (PHQ-2 >= 3),Wellbeing only,wemwbs_17_z,-0.45350036011081185,0.0544117848926404,-8.33459812071247,1.458073629610793e-15,0.6354001251966291,0.5711259596414541,0.706907665961027,5281.658792450076,0.6589709376728409,0.1587304056754638,5343,Complete-case analysis
Age 23 probable depressive case (PHQ-2 >= 3),Balance index,psi_17_z,0.6775806383457649,0.06199409236834874,10.929761408874269,2.386930234224234e-24,1.9691079803389238,1.7438136191974027,2.223509551450239,5127.059868248338,0.6955416480689718,0.154110740415668,5343,Complete-case analysis
