outcome,nobs,missingness_handling,conf_low,conf_high,std_estimate,model,term,estimate,std_error,statistic,p_value
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,-2.171725680457752e-4,0.040665317234023085,0.020224072332988657,abcd_sleep_risk,field_index:sleep_risk,0.020224072332988657,0.010429206582160424,1.9391765014591564,0.05253812367440192
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,-0.01937200916063608,0.012997670995876249,-0.0031871690823799146,abcd_sleep_risk,sleep_risk:precision_index,-0.0031871690823799146,0.008257571468498042,-0.3859693003613354,0.6995364363480405
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,-0.0387658228754699,0.013641112423588862,-0.01256235522594052,abcd_neighborhood_risk,field_index:neighborhood_risk,-0.01256235522594052,0.013369116147719073,-0.9396548797344246,0.3474416921509671
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,-0.03040775653930218,0.012131255974705456,-0.009138250282298362,abcd_neighborhood_risk,neighborhood_risk:precision_index,-0.009138250282298362,0.010851788906634602,-0.8420962074475471,0.39977587490027566
Age 15 parent-reported internalising,477,Complete-case analysis; family-cluster-robust standard errors,-0.11498693134065215,0.0807362818265611,-0.017125324757045524,abcd_peer_adversity,field_index:peer_adversity,-0.017125324757045524,0.049929391114085016,-0.34299085918983885,0.7317590176325385
Age 15 parent-reported internalising,477,Complete-case analysis; family-cluster-robust standard errors,-0.06896219267236134,0.07697851385771048,0.004008160592674574,abcd_peer_adversity,peer_adversity:precision_index,0.004008160592674574,0.03722977207399791,0.1076600894764532,0.9143113691688165
