outcome,nobs,missingness_handling,p_value,conf_low,conf_high,std_estimate,model,term,estimate,std_error,statistic,Pr(>|t|)
Age 17 psychological distress,8264,Complete-case analysis,0.6878677588072639,-0.038753121011935,0.058755534280308074,0.010001206634186537,mcs_family_conflict,field_index:family_conflict,0.010001206634186537,0.024874656962306906,0.4020641028071895,0.6878677588072639
Age 17 psychological distress,8264,Complete-case analysis,0.8253816997672555,-0.04359918852398062,0.03477116548638812,-0.00441401151879625,mcs_family_conflict,family_conflict:precision_index,-0.00441401151879625,0.019992437247543047,-0.22078406270044468,0.8253816997672555
Age 17 psychological distress,8314,Complete-case analysis,0.03615539520588839,0.002902394152383213,0.0825807857690275,0.04274158996070536,mcs_sleep_risk,field_index:sleep_risk,0.04274158996070536,0.020326120310368442,2.102791349655777,0.03615539520588839
Age 17 psychological distress,8314,Complete-case analysis,0.002811338725526899,0.016516452297249268,0.07831324288891965,0.04741484759308446,mcs_sleep_risk,sleep_risk:precision_index,0.04741484759308446,0.015764487395834283,3.0076999272182925,0.002811338725526899
Age 17 psychological distress,7248,Complete-case analysis,0.011917238071224629,-0.10915602074901123,-0.013793905495053015,-0.06147496312203212,mcs_peer_school_trouble,field_index:peer_school_trouble,-0.06147496312203212,0.024327070217846483,-2.5270187725661155,0.011917238071224629
Age 17 psychological distress,7248,Complete-case analysis,0.2709726996037799,-0.05074447618771722,0.014209215409479704,-0.018267630389118758,mcs_peer_school_trouble,peer_school_trouble:precision_index,-0.018267630389118758,0.016569819284999215,-1.1024640688541838,0.2709726996037799
