outcome,conf_low,conf_high,std_estimate,model,term,estimate,std_error,statistic,p_value,nobs,missingness_handling
Age 15 youth BPM internalising,-0.1079764246459838,-0.04160835178344603,-0.07479238821471491,combined,field_index,-0.07479238821471491,0.016930630832280042,-4.417578349893218,1.0210686469264959e-5,5365,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 youth BPM internalising,-0.004169843613737765,0.04556014074303333,0.020695148564647783,combined,precision_index,0.020695148564647783,0.0126862204991763,1.6313092276767136,0.10289355676326724,5365,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 youth BPM attention,-0.10553711137585882,-0.03761074184834971,-0.07157392661210427,combined,field_index,-0.07157392661210427,0.017328155491711506,-4.130498866214577,3.6869619215272145e-5,5098,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 youth BPM attention,-0.010654783745484184,0.039006855041172246,0.01417603564784403,combined,precision_index,0.01417603564784403,0.012668785404759294,1.1189735396826996,0.26321251033599385,5098,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
