condition,n_verified_agents,candidate_schedules_examined,gamma,delta_c,median,q1,q3,mean,sd,proportion_above_0_5
Control,200,1057,18.0,-0.05,0.1563922753869088,0.07717062371616247,0.2779946122930446,0.19008899703162463,0.13334884392130128,0.025
Restore gamma only,200,1057,20.0,-0.05,0.1323055845731092,0.060212449055053005,0.24502206260193699,0.16724086289588944,0.13326249514185196,0.025
Restore delta_c only,200,1057,18.0,0.15,0.8287127190887136,0.6565046220150328,0.8932672311802429,0.7452279251211331,0.20974217301677098,0.86
Restore both,200,1057,20.0,0.15,0.8622099685214659,0.6927659843364509,0.9180639790887274,0.7619483417372541,0.2272403214992638,0.86
