wave,cohort,n_rows,n_participants,outcome_mean,outcome_sd,outcome_missing
age11,MCS,13277,13277,-0.4620591137574871,0.6691510606203495,0.037583791519168484
age14,MCS,11711,11711,-0.3473016434100595,0.7219689944258805,0.03330202373836564
age17,MCS,10831,10831,0.38797416655748507,1.0401075690982293,0.07792447604099345
age23,MCS,9560,9560,0.6453713607479543,1.1135835774575327,0.03378661087866109
