outcome,nobs,missingness_handling,p_value,conf_low,conf_high,std_estimate,model,term,estimate,std_error,statistic,Pr(>|t|)
Age 17 psychological distress,4940,Complete-case analysis,0.621790277060148,-0.14477167004662544,0.24227395803709412,0.04875114399523433,mcs_prs_cognition_pgi,sampling_stratumScotland - Disadvantaged,0.04875114399523433,0.09873612961319377,0.493751823027909,0.621790277060148
Age 17 psychological distress,4940,Complete-case analysis,0.7674102110772472,-0.18919084630021532,0.13954599246119503,-0.02482242691951015,mcs_prs_cognition_pgi,sampling_stratumNorthern Ireland - Advantaged,-0.02482242691951015,0.08386143845954346,-0.2959933358582326,0.7674102110772472
Age 17 psychological distress,4940,Complete-case analysis,0.8173257717181611,-0.2018615929795317,0.159270279768144,-0.021295656605693852,mcs_prs_cognition_pgi,sampling_stratumNorthern Ireland - Disadvantaged,-0.021295656605693852,0.09212547774175402,-0.2311592528767102,0.8173257717181611
Age 17 psychological distress,4940,Complete-case analysis,0.037853844917707394,0.002753339131500096,0.08957146855867744,0.04616240384508877,mcs_prs_cognition_pgi,pc1,0.04616240384508877,0.022147481996728915,2.0843183821938203,0.037853844917707394
Age 17 psychological distress,4940,Complete-case analysis,0.8551471266684689,-0.048846010351038104,0.0405166156934481,-0.004164697328795001,mcs_prs_cognition_pgi,pc2,-0.004164697328795001,0.022796588276654647,-0.18268950065040881,0.8551471266684689
Age 17 psychological distress,4940,Complete-case analysis,0.46332301168175083,-0.02505737754976698,0.05507325636946465,0.015007939409848832,mcs_prs_cognition_pgi,pc3,0.015007939409848832,0.020441488244701947,0.7341901543660164,0.46332301168175083
Age 17 psychological distress,4940,Complete-case analysis,0.2172611525326059,-0.016710824183295604,0.07377572524965308,0.028532450533178735,mcs_prs_cognition_pgi,pc4,0.028532450533178735,0.02308330342677262,1.2360644404165329,0.2172611525326059
Age 17 psychological distress,4940,Complete-case analysis,0.9136250858094149,-0.03146146611283584,0.03515045499314553,0.001844494440154843,mcs_prs_cognition_pgi,pc5,0.001844494440154843,0.01699283701683198,0.10854540877004874,0.9136250858094149
Age 17 psychological distress,4940,Complete-case analysis,0.17062399022803437,-0.05791651032043303,0.010199798141551097,-0.02385835608944097,mcs_prs_cognition_pgi,pc6,-0.02385835608944097,0.017376609301526565,-1.373015625513602,0.17062399022803437
Age 17 psychological distress,4940,Complete-case analysis,0.8709514939245273,-0.033583981652732034,0.03965899365047208,0.003037505998870024,mcs_prs_cognition_pgi,pc7,0.003037505998870024,0.018684432475307173,0.16256881245305724,0.8709514939245273
