condition,n_agents,median,q1,q3,mean,sd,proportion_above_0_5,proportion_positive
Control,200,0.3709917116907563,0.34696121492946735,0.4004381148297635,0.37464114292608175,0.03894124246534806,0.0,
Restore gamma only,200,0.15663746307440912,0.11423448339334498,0.21153969856360066,0.17337707233414698,0.07760760378268858,0.0,
Restore delta_c only,200,0.6301171316681555,0.6031237239211736,0.6538732803549796,0.6291886740138625,0.03833375284115894,1.0,
Restore both,200,0.8493987274729389,0.8029675812592968,0.8925511756441515,0.8366780256544782,0.07336244413827653,1.0,
Paired delta_c advantage over gamma,200,0.4639830799783935,0.4342015965163255,0.4875684872926411,0.45581160167971546,0.04861904991659081,,1.0
