outcome,model,predictor,estimate,std_error,statistic,p_value,odds_ratio,or_conf_low,or_conf_high,aic,auc,brier,nobs,missingness_handling
Age 15 probable internalising case (CBCL >= 64; age-13 baseline < 64),Stress only,stress_z,0.4094638932734534,0.09334233534243899,4.3866900455327125,1.1810869442665254e-5,1.506010186461452,1.2541522657793143,1.808446026540732,2191.9871397018924,0.793916999442606,0.06912173052860487,4375,Complete-case analysis; family-cluster-robust standard errors
Age 15 probable internalising case (CBCL >= 64; age-13 baseline < 64),Positive affect only,positive_affect_z,-0.14415006979756148,0.060218178570915555,-2.393796578018448,0.016721654208701087,0.8657578142099599,0.7693479595498954,0.9742491463864041,2204.072921450556,0.7891909303634371,0.06934647067193651,4375,Complete-case analysis; family-cluster-robust standard errors
Age 15 probable internalising case (CBCL >= 64; age-13 baseline < 64),Balance index,psi_z,0.46607627770098026,0.08772925388492658,5.312666608476198,1.1402871714668817e-7,1.5937285606628109,1.3418873236938977,1.8928345772582589,2182.720623424236,0.796082623575885,0.06876659081274394,4375,Complete-case analysis; family-cluster-robust standard errors
