scenario,field_reliability,precision_reliability,field_beta_mean,field_beta_sd,precision_beta_mean,precision_beta_sd,abs_gap_mean,p_abs_field_gt_precision
"Matched reliability (field=0.75, prec=0.75)",0.75,0.75,-0.12283036959778965,0.00996662482467432,-0.0004431270961204459,0.009621311183598066,0.11525274327449302,1.0
"Precision attenuated (field=0.80, prec=0.45)",0.8,0.45,-0.12669436110324941,0.009900866505790244,0.000739037202830595,0.009318560327047238,0.11934470138096367,1.0
"Precision noise high (field=0.80, prec=0.30)",0.8,0.3,-0.12659259640899975,0.008738800827542638,0.0005265639188657537,0.009089727514932339,0.11935752650526815,1.0
