wave,cohort,n_rows,n_participants,outcome_mean,outcome_sd,outcome_missing
ses-00A,ABCD,11862,11862,48.45299721777253,10.638530650284679,8.430281571404485e-5
ses-01A,ABCD,11201,11201,48.592447102937214,10.617600452890667,0
ses-02A,ABCD,10898,10898,47.70285399651282,10.541209258186717,9.175995595522114e-5
ses-03A,ABCD,10197,10197,47.7004707728521,10.607904359184454,9.806805923310778e-5
ses-04A,ABCD,9496,9496,47.53902875803222,10.897014314470514,3.159224936815501e-4
ses-05A,ABCD,8658,8658,48.40094721035001,11.007408613711066,1.155001155001155e-4
ses-06A,ABCD,4983,4983,47.131246237206504,10.896470623626684,0
