model,predictions,transitions,log_loss,brier_score,transition_log_loss
Markov,5414,34,0.040242460873046455,0.0070927286416434905,4.607405511101385
AI-derived nonlinear,5414,34,0.39048295475960076,0.12293750376861054,4.630037493670636
Linear burden,5414,34,0.43168899946874223,0.12904101058419465,3.103597781879104
Two-state HMM,5414,34,0.458624650561183,0.14654829594401697,1.6265761221473913
Intercept,5414,34,0.600247390658281,0.19892469916313643,0.756428212241101
